시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
J10,경기도교육청,가평군,교습소,3000055155,가평필아트미술교습소,20230502,20230502,개원,        ,99991231,49,8,예능(대),예능(중),회화1,미술,"회화1:64000, 회화2:129000, 회화3:190000, 체험수업1:12000, 체험수업2:18000, 작가미술:103000",Y,N,경기도 가평군 가평읍 석봉로 163,", 102호 (가평읍)",12417,null,20231210
J10,경기도교육청,가평군,교습소,3000024494,감성채움피아노교습소,20150303,20150303,개원,        ,99991231,25,5,예능(대),예능(중),피아노(기초),음악,"피아노(기초):150000, 피아노(중급):160000, 피아노(고급):180000, 피아노(입시-중):300000, 피아노(입시-고):500000",Y,N,경기도 가평군 청평면 청평중앙로 72,", 2층 (청평면)",12452,010-9954-5736,20231018
J10,경기도교육청,가평군,교습소,3000046770,그릿잉글리시영어교습소,20210422,20210422,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,중등집중영어,보습,"중등집중영어:550000, 초등영어:200000, 중등영어:240000, 초등집중영어:450000",Y,N,경기도 가평군 설악면 신천중앙로120번길 8,", 1층 (설악면)",12465,,20250622
J10,경기도교육청,가평군,교습소,31740,디딤돌수학교습소,20080724,20080724,개원,20150301,20150416,15,9,입시.검정 및 보습,보통교과,수학(초등),보습, ,N,N,경기도 가평군 조종면 현창로38번길 7-1,", 2층 (조종면)",12437,031-585-3395,20231018
J10,경기도교육청,가평군,교습소,3000074617,디키투엠영어교습소,20250619,20250619,개원,        ,        ,0,6,국제화,,,, ,Y, ,경기도 가평군 가평읍 호반로 2605,1층,12421,,20250706
J10,경기도교육청,가평군,교습소,3000074280,레이첼영어교습소,20250516,20250514,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,경기도 가평군 청평면 청평중앙로 72,"25, 1층",12452,,20250518
J10,경기도교육청,가평군,교습소,3000019840,마이피아노교습소,20130829,20131108,개원,        ,99991231,30,20,예능(대),예능(중),피아노 초급1,음악,"피아노 초급1:150000, 피아노 초급2:150000, 피아노 중급1:160000, 피아노 중급2:170000, 피아노 고급:200000, 입시:500000",Y,N,경기도 가평군 가평읍 향교로 9,"(가평읍, 이상아아뜰리에)",12417,031-582-9078,20231018
J10,경기도교육청,가평군,교습소,3000018700,뮤직아카데미음악교습소,20130606,20130606,개원,        ,99991231,28,16,예능(대),예능(중),피아노(초급),음악, ,Y,N,경기도 가평군 설악면 신천중앙로120번길 8,201호,12465,031-584-8382,20251019
J10,경기도교육청,가평군,교습소,3000046404,별하피아노교습소,20210317,20210317,개원,        ,99991231,20,10,예능(대),예능(중),,음악, ,Y,N,경기도 가평군 가평읍 석봉로153번길 16,", 1층 (가평읍)",12417,,20231018
J10,경기도교육청,가평군,교습소,3000050284,뿌리수학교습소,20220207,20220207,개원,        ,99991231,20,22,입시.검정 및 보습,보통교과,고등수학1,보습,"고등수학1:250000, 초등수학:180000, 중등수학1:230000, 중등수학2:250000, 고등수학2:300000, 고등수학3:400000",Y,N,경기도 가평군 가평읍 석봉로 77번길 27,", 102호 ",12416,null,20241215
J10,경기도교육청,가평군,교습소,3000044828,생각키움수학교습소,20200820,20200820,개원,        ,99991231,13,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,경기도 가평군 가평읍 석봉로 126,", 3층 (가평읍)",12416,,20231018
J10,경기도교육청,가평군,교습소,3000055133,소리숲피아노교습소,20230307,20230307,개원,        ,99991231,0,0,예능(대),예능(중),기초반(바이엘),음악,"기초반(바이엘):140000, 기초반(체르니100):150000, 체르니30:160000, 체르니40:170000, 성인취미반:150000",Y,N,경기도 가평군 조종면 조종새싹로 46,", 2층 (조종면, 미림이네)",12437,null,20250302
J10,경기도교육청,가평군,교습소,3000034849,스마트에듀영어교습소,20171121,20171121,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:200000, 유치부:120000, 초등3회:140000, 초등5회:230000, 에비중:250000, 중등:280000",Y,N,경기도 가평군 가평읍 향교로27번길 5,", 1층 (가평읍)",12417,,20231018
J10,경기도교육청,가평군,교습소,3000038824,스텝업잉글리쉬영어교습소,20181127,20181127,개원,        ,99991231,26,8,입시.검정 및 보습,보통교과,초등기초,보습,"초등기초:120000, 초등심화:180000, 중등기초:200000, 중등심화:250000, 고등:330000",Y,N,경기도 가평군 가평읍 광장로 22번길,", 36, 1층 (가평읍)",12417,,20231018
J10,경기도교육청,가평군,교습소,3000068704,아럽마바디무용교습소,20240426,20240422,개원,        ,        ,0,9,예능(대),예능(중),무용(초등저학년),무용,"무용(초등저학년):100000, 무용(고학년):100000, 무용(중고등):100000, 무용(성인):110000",Y, ,경기도 가평군 가평읍 향교로 33-3,1층,12417,,20240929
J10,경기도교육청,가평군,교습소,3000071882,에이펙스(APEX)영어교습소,20240806,20240806,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,경기도 가평군 청평면 경춘로 807-23,1층,12451,,20241201
J10,경기도교육청,가평군,교습소,16037,연정서예교습소,20050415,20050415,개원,        ,99991231,9,9,기타(대),기타(중),서예,서예, ,Y,N,경기도 가평군 가평읍 석봉로 135,", 연정서예교습소 (가평읍)",12417,031-581-2332,20231018
J10,경기도교육청,가평군,교습소,42748,연필의작업실미술교습소,20101008,20101008,개원,        ,99991231,36,9,예능(대),예능(중),미술(유.초등),미술,"미술(유.초등):70000, 미술(유.초등):120000, 미술(유.초등):150000, 미술(중등):70000, 미술A:82400, 미술B:131840",Y,N,경기도 가평군 가평읍 가화로 110,", 2층 (가평읍)",12419,070-4226-1553,20231231
J10,경기도교육청,가평군,교습소,3000072453,이음음악교습소,20241201,20241118,개원,        ,        ,0,5,예능(대),예능(중),첼로,음악,"첼로:240000, 피아노1:150000, 피아노2:180000, 첼로+피아노:200000, 앙상블:80000, 피아노3:160000, 첼로(첼로+앙상블):200000",Y, ,경기도 가평군 가평읍 가화로 223,상가동 102호(가평에이원파란채아파트),12414,,20241215
J10,경기도교육청,가평군,교습소,3000075930,차피아노 음악 교습소,20250911,20250911,개원,        ,        ,0,0,예능(대),예능(중),피아노 초급1,음악,"피아노 초급1:120000, 피아노 초급2:170000, 피아노 초급3:220000, 피아노 중급1:130000, 피아노 중급2:190000, 피아노 고급1:130000, 피아노 고급2:130000, 피아노 입시:500000",Y, ,경기도 가평군 가평읍 보납로 22,3층 4호,12418,,20251221
J10,경기도교육청,가평군,교습소,9671,창공미술교습소,20040702,20040702,개원,        ,99991231,27,9,예능(대),예능(중),,미술,"초급:100000, 중급:120000, 고급:70000, 중등(상):60000",N,N,경기도 가평군 청평면 청평중앙로72번길 15,(청평면),12452,031-585-3397,20231018
J10,경기도교육청,가평군,교습소,3000061881,파도수학교습소,20230901,20230818,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,경기도 가평군 청평면 여울길 17,코렘청평 101호,12452,,20231018
J10,경기도교육청,가평군,교습소,3000068798,포텐셜키즈피아노스쿨음악교습소,20240508,20240508,개원,        ,        ,0,5,예능(대),,,, ,Y, ,경기도 가평군 가평읍 문화로 167,(e편한세상 가평퍼스트원),12416,,20240512
J10,경기도교육청,가평군,교습소,3000022098,프로수학교습소,20140704,20140704,개원,        ,99991231,6,2,입시.검정 및 보습,보통교과,,보습, ,Y,N,경기도 가평군 청평면 경춘로 807-45,", 상가 104호 (청평면, 청평세양청마루아파트)",12451,,20231018
J10,경기도교육청,가평군,교습소,3000025828,홍익in미술교습소,20150717,20150717,개원,        ,99991231,90,9,예능(대),예능(중),아동미술1(저),미술,"아동미술1(저):110000, 아동미술1(고):120000, 아동미술2(저):170000, 아동미술2(고):180000, 중등미술1:200000, 입시미술(예비):400000, 입시미술(입시1):500000, 중등미술2:250000, 고등성인:200000, 입시2:600000",Y,N,경기도 가평군 조종면 조종새싹로 14,", 1층 (조종면)",12437,031-584-0643,20231018
J10,경기도교육청,가평군,학원,3000021109,ASG 영어 수학 학원,20140320,20140320,개원,        ,99991231,90,60,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,경기도 가평군 설악면 신천중앙로132번길 14,", 2층 (설악면, 동서울부동산)",12465,031-585-8209,20250629
J10,경기도교육청,가평군,학원,3000052128,EiE 고려대학교영어교육프로그램 가평학원,20220819,20220816,개원,        ,99991231,40,103,입시.검정 및 보습,외국어,,실용외국어(유아/초·중·고), ,Y,N,경기도 가평군 가평읍 석봉로 168,", 2층 (가평읍, 원희빌딩)",12418,,20250907
J10,경기도교육청,가평군,학원,3000031053,J&J뮤직아카데미음악학원,20161207,20161207,개원,        ,99991231,200,61,예능(대),예능(중),,음악, ,Y,N,경기도 가평군 청평면 잠곡로 28,", 2층 (청평면)",12453,031-585-3218,20231018
J10,경기도교육청,가평군,학원,3000021015,PIS영어학원,20140313,20140313,개원,        ,99991231,165,60,입시.검정 및 보습,보통교과,"보습,",보습, ,Y,N,경기도 가평군 가평읍 석봉로 129,", 2층 (가평읍)",12417,031-582-3373,20231018
J10,경기도교육청,가평군,학원,3000047428,가우스학원,20210701,20210701,개원,        ,99991231,12,60,입시.검정 및 보습,보통교과,,보습, ,Y,N,경기도 가평군 가평읍 연인길 7,", 2층 (가평읍)",12418,,20231018
J10,경기도교육청,가평군,학원,3000050094,강남고도 미대재수학원,20220127,20220127,개원,        ,99991231,120,252,입시.검정 및 보습,보통교과,"보습,입시",보습, ,Y,N,경기도 가평군 조종면 명지산로 540,", 2층 (조종면)",12431,02-3462-9114,20250309
J10,경기도교육청,가평군,학원,3000049005,광릉한샘기숙학원,20211202,20211202,개원,        ,99991231,750,800,입시.검정 및 보습,보통교과,입시,입시, ,Y,Y,경기도 가평군 조종면 명지산로 540,", 광릉한샘기숙학원 (조종면)",12431,null,20251130
J10,경기도교육청,가평군,학원,3000068752,광릉한샘원격학원,20240502,20240501,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y,N,경기도 가평군 조종면 명지산로 540,1층,12431,,20240505
