kaptCode,kaptName,doroJuso,kaptAddr,경도,위도,비고
A10021295,경희궁의아침4단지,서울특별시 종로구 새문안로3길 23,서울특별시 종로구 내수동 73- 경희궁의아침4단지,126.972440865,37.572630729,도로명(1)
A10021652,경희궁파크팰리스,서울특별시 종로구 사직로8길 20,서울특별시 종로구 내수동 95- 경희궁파크팰리스,126.97059526,37.573936295,도로명(1)
A11007001,경희궁의아침3단지,서울특별시 종로구 사직로8길 34,서울특별시 종로구 내수동 72 경희궁의아침3단지,126.97242548,37.573587575,도로명(1)
A11087101,경희궁의아침2단지,서울특별시 종로구 사직로8길 24,서울특별시 종로구 내수동 71 경희궁의아침2단지,126.971123623,37.573942904,도로명(1)
A11005401,광화문스페이스본 아파트,서울특별시 종로구 사직로8길 4,서울특별시 종로구 신문로2가 1-434 광화문스페이스본 아파트,126.969851861,37.574674044,도로명(1)
A11014001,로얄팰리스스위트,서울특별시 종로구 율곡로2길 7,서울특별시 종로구 수송동 85 로얄팰리스스위트,126.981229064,37.575014084,도로명(1)
A11034001,현대뜨레비앙,서울특별시 종로구 돈화문로11가길 59,서울특별시 종로구 익선동 55 현대뜨레비앙,126.990036165,37.575209641,도로명(1)
A10020992,낙원아파트,서울특별시 종로구 삼일대로 428,서울특별시 종로구 낙원동 288- 낙원아파트,126.988052633,37.572747811,도로명(1)
A11041001,효성주얼리시티아파트,서울특별시 종로구 종로 183,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,126.998320022,37.571447674,도로명(1)
A10027162,포레스트힐시티,서울특별시 종로구 대학로 33,서울특별시 종로구 효제동 65-2 포레스트힐시티,127.001867896,37.574045296,도로명(1)
A10023586,힐스테이트 창경궁,서울특별시 종로구 율곡로 236,서울특별시 종로구 충신동 60 힐스테이트 창경궁,127.004898601,37.575302276,도로명(1)
A10023741,명륜아남2차아파트,,서울특별시 종로구 명륜2가 236 명륜아남2차아파트,126.99872877190955,37.58607272730024,지번(2)
A11052201,명륜아남1차,서울특별시 종로구 창경궁로 265,서울특별시 종로구 명륜2가 4 명륜아남1차,126.999053446,37.585564953,도로명(1)
A11076701,주상복합아남아파트,서울특별시 종로구 혜화로3길 5,서울특별시 종로구 명륜2가 237 주상복합아남아파트,127.000270837,37.585961281,도로명(1)
A10021626,창신이수아파트,서울특별시 종로구 지봉로 87,서울특별시 종로구 창신동 23-816 창신이수아파트,127.014482827,37.578135443,도로명(1)
A11054101,창신두산,서울특별시 종로구 지봉로5길 7,서울특별시 종로구 창신동 232 창신두산,127.013784654,37.574078573,도로명(1)
A11054301,창신쌍용1단지,서울특별시 종로구 동망산길 19,서울특별시 종로구 창신동 702 창신쌍용1단지,127.014740109,37.580496415,도로명(1)
A11077101,창신쌍용아파트2단지,서울특별시 종로구 낙산길 198,서울특별시 종로구 창신동 703 창신쌍용아파트2단지,127.011641111,37.580718545,도로명(1)
A10024713,숭인상가아파트,서울특별시 종로구 청계천로 391,서울특별시 종로구 숭인동 204-11 숭인상가아파트,127.020500356,37.572085838,도로명(1)
A11055002,종로청계힐스테이트,서울특별시 종로구 숭인동길 21,서울특별시 종로구 숭인동 766 종로청계힐스테이트,127.02127399,37.575369673,도로명(1)
