학원지정번호,학원명,도로명주소,경도,위도,비고
3000055155,가평필아트미술교습소,경기도 가평군 가평읍 석봉로 163,127.510643304,37.829723275,성공
3000024494,감성채움피아노교습소,경기도 가평군 청평면 청평중앙로 72,127.421895288,37.73930153,성공
3000046770,그릿잉글리시영어교습소,경기도 가평군 설악면 신천중앙로120번길 8,127.491112121,37.678544303,성공
31740,디딤돌수학교습소,경기도 가평군 조종면 현창로38번길 7-1,127.348713172,37.818957955,성공
3000074617,디키투엠영어교습소,경기도 가평군 가평읍 호반로 2605,127.514239286,37.818431435,성공
3000074280,레이첼영어교습소,경기도 가평군 청평면 청평중앙로 72,127.421895288,37.73930153,성공
3000019840,마이피아노교습소,경기도 가평군 가평읍 향교로 9,127.509815722,37.829350719,성공
3000018700,뮤직아카데미음악교습소,경기도 가평군 설악면 신천중앙로120번길 8,127.491112121,37.678544303,성공
3000046404,별하피아노교습소,경기도 가평군 가평읍 석봉로153번길 16,127.50962195,37.828749819,성공
3000050284,뿌리수학교습소,경기도 가평군 가평읍 석봉로 77번길 27,127.51056737,37.822698451,성공
3000044828,생각키움수학교습소,경기도 가평군 가평읍 석봉로 126,127.512099848,37.826405615,성공
3000055133,소리숲피아노교습소,경기도 가평군 조종면 조종새싹로 46,127.349234869,37.82278883,성공
3000034849,스마트에듀영어교습소,경기도 가평군 가평읍 향교로27번길 5,127.508430389,37.83048543,성공
3000038824,스텝업잉글리쉬영어교습소,경기도 가평군 가평읍 광장로 22번길,127.50936706,37.827079185,성공
3000068704,아럽마바디무용교습소,경기도 가평군 가평읍 향교로 33-3,127.509460934,37.830652328,성공
3000071882,에이펙스(APEX)영어교습소,경기도 가평군 청평면 경춘로 807-23,127.416448453,37.738576908,성공
16037,연정서예교습소,경기도 가평군 가평읍 석봉로 135,127.511413814,37.827209743,성공
42748,연필의작업실미술교습소,경기도 가평군 가평읍 가화로 110,127.514087201,37.829549954,성공
3000072453,이음음악교습소,경기도 가평군 가평읍 가화로 223,127.506433452,37.838073699,성공
3000075930,차피아노 음악 교습소,경기도 가평군 가평읍 보납로 22,127.512922722,37.830813038,성공
9671,창공미술교습소,경기도 가평군 청평면 청평중앙로72번길 15,127.422856685,37.738329718,성공
3000061881,파도수학교습소,경기도 가평군 청평면 여울길 17,127.420729839,37.737420751,성공
3000068798,포텐셜키즈피아노스쿨음악교습소,경기도 가평군 가평읍 문화로 167,127.507217175,37.827506739,성공
3000022098,프로수학교습소,경기도 가평군 청평면 경춘로 807-45,127.416314557,37.739730049,성공
3000025828,홍익in미술교습소,경기도 가평군 조종면 조종새싹로 14,127.348762853,37.82014906,성공
3000021109,ASG 영어 수학 학원,경기도 가평군 설악면 신천중앙로132번길 14,127.489374413,37.679299399,성공
3000052128,EiE 고려대학교영어교육프로그램 가평학원,경기도 가평군 가평읍 석봉로 168,127.510977357,37.830112909,성공
3000031053,J&J뮤직아카데미음악학원,경기도 가평군 청평면 잠곡로 28,127.421764438,37.736882339,성공
3000021015,PIS영어학원,경기도 가평군 가평읍 석봉로 129,127.511515632,37.826686065,성공
3000047428,가우스학원,경기도 가평군 가평읍 연인길 7,127.513600119,37.828188191,성공
